name,RA,DEC,Reff,r_mag,g_mag,axis_ratio,pos_angle,n,u,g,r,i,ue,ge,re,ie,Reffe,r_mage,ne,C,mue_r,bae,RFF
UDGcand_0,56.232608795166016,-35.335723876953125,2.893399953842163,19.831899642944336,-1.0,0.6033999919891357,-27.77549934387207,1.0270999670028687,22.426843643188477,21.254629135131836,20.854597091674805,20.666162490844727,0.09820196777582169,0.05481596291065216,0.04630625993013382,0.04424441233277321,0.3328424394130707,0.13132363557815552,0.11714150011539459,2.764209747314453,23.585330963134766,0.027317781001329422,-99.0
UDGcand_2,55.6338996887207,-35.86692810058594,2.6399800777435303,20.23710060119629,-1.0,0.7487999796867371,15.694100379943848,1.6469999551773071,25.864774703979492,22.82236099243164,21.05567741394043,20.009187698364258,2.018833875656128,0.16071560978889465,0.051179852336645126,0.041535940021276474,0.3782392740249634,0.1662376970052719,0.14083640277385712,3.494849920272827,24.02589225769043,0.03271061182022095,-99.0
UDGcand_3,55.68883514404297,-35.471954345703125,1.9783799648284912,21.72949981689453,-1.0,0.8003000020980835,10.619600296020508,0.30000001192092896,23.426687240600586,22.958179473876953,22.777353286743164,22.354772567749023,0.14552943408489227,0.12568005919456482,0.11266205459833145,0.06660489737987518,0.4523662328720093,0.2746366858482361,0.20848801732063293,1.926754355430603,24.96405601501465,0.048007071018218994,-99.0
UDGcand_4,55.832767486572266,-35.37955093383789,5.792359828948975,18.351999282836914,-1.0,0.6255000233650208,61.52119827270508,6.12060022354126,22.914798736572266,20.746212005615234,19.115137100219727,18.595897674560547,0.5373902916908264,0.09091009944677353,0.03791195526719093,0.04147855564951897,0.68873530626297,0.1360730081796646,0.12043895572423935,3.8384289741516113,23.65172004699707,0.028069602325558662,-99.0
UDGcand_5,56.05801773071289,-35.59640884399414,2.9818999767303467,19.47800064086914,-1.0,0.8144000172615051,-11.880000114440918,0.8693000078201294,22.430892944335938,20.970211029052734,20.423545837402344,20.149023056030273,0.13129079341888428,0.05527612939476967,0.04360561817884445,0.04328059405088425,0.3494237959384918,0.1339571475982666,0.11897309124469757,2.764209747314453,23.622434616088867,0.02773544006049633,-99.0
UDGcand_7,55.38682556152344,-35.19349670410156,1.1083799600601196,19.059999465942383,-1.0,0.8479999899864197,84.3667984008789,5.012700080871582,23.60398292541504,21.331111907958984,20.391408920288086,19.96058464050293,0.07618968933820724,0.0392027385532856,0.03388497233390808,0.04018765315413475,0.03694486990571022,0.03472092002630234,0.04142477363348007,2.385606288909912,21.099308013916016,0.009883960708975792,-99.0
UDGcand_9,56.09492492675781,-35.24293899536133,3.262939929962158,20.9419002532959,-1.0,0.9307000041007996,83.5270004272461,4.467299938201904,24.35429573059082,23.310588836669922,21.857858657836914,20.76860237121582,0.9554347991943359,0.40538015961647034,0.12319810688495636,0.05479065701365471,0.9395830035209656,0.35181209444999695,0.2530005872249603,2.597625494003296,25.426843643188477,0.0580090768635273,-99.0
UDGcand_10,56.094276428222656,-35.486167907714844,2.4170799255371094,20.51490020751953,-1.0,0.6913999915122986,-28.180400848388672,0.5626000165939331,22.551965713500977,21.777116775512695,21.525333404541016,21.400230407714844,0.09119787067174911,0.06614915281534195,0.05859694629907608,0.049536194652318954,0.34624508023262024,0.16620752215385437,0.14081642031669617,2.385606288909912,24.02555274963379,0.03270607441663742,-99.0
UDGcand_11,55.699058532714844,-35.536930084228516,1.420680046081543,21.85930061340332,-1.0,0.34139999747276306,-49.12260055541992,0.5778999924659729,24.824432373046875,23.954286575317383,23.296606063842773,23.18075942993164,0.1336899697780609,0.11310464143753052,0.08059652149677277,0.05093953758478165,0.15275713801383972,0.12213750928640366,0.11068831384181976,2.6573946475982666,23.44981575012207,0.025845089927315712,-99.0
UDGcand_12,55.52764892578125,-35.08787155151367,2.145359992980957,20.768699645996094,-1.0,0.9269000291824341,22.14859962463379,4.412099838256836,27.120712280273438,23.319656372070312,21.75316619873047,20.721723556518555,5.210131645202637,0.20492543280124664,0.0682438388466835,0.043548647314310074,0.3592090606689453,0.1965242624282837,0.16051355004310608,3.184110403060913,24.33865737915039,0.037173666059970856,-99.0
UDGcand_13,56.29722595214844,-35.40424728393555,2.4803600311279297,19.61079978942871,-1.0,0.5785999894142151,89.15859985351562,2.552299976348877,24.906261444091797,22.192272186279297,20.575143814086914,19.82548713684082,0.5868921279907227,0.08007586747407913,0.03884938359260559,0.04064364358782768,0.21147628128528595,0.09520041942596436,0.09110604226589203,3.66196870803833,22.984193801879883,0.02136409282684326,-99.0
UDGcand_15,56.284759521484375,-35.30400848388672,1.8246999979019165,19.984600067138672,-1.0,0.7868000268936157,-0.027400000020861626,4.989799976348877,25.10625648498535,22.662046432495117,21.012195587158203,20.321613311767578,0.525656521320343,0.0922871083021164,0.04167385771870613,0.04090682789683342,0.1587774008512497,0.09730691462755203,0.09267747402191162,3.184110403060913,23.02509307861328,0.021724410355091095,-99.0
UDGcand_16,55.99628829956055,-35.78520202636719,12.265680313110352,18.88010025024414,-1.0,0.7440000176429749,64.96800231933594,10.0,21.062267303466797,20.27524757385254,19.667125701904297,19.449880599975586,0.5142544507980347,0.2595149874687195,0.15292373299598694,0.1233898252248764,4.693274974822998,0.47741907835006714,0.3211630582809448,3.66196870803833,25.997365951538086,0.07325203716754913,-99.0
UDGcand_17,56.10630416870117,-35.101280212402344,3.3092598915100098,19.14889907836914,-1.0,0.8766000270843506,46.67829895019531,1.2146999835968018,21.583799362182617,20.457822799682617,20.041732788085938,19.787410736083984,0.08642684668302536,0.048249952495098114,0.04121151193976402,0.04288389906287193,0.38336533308029175,0.1323184221982956,0.11783429980278015,2.685595989227295,23.59943199157715,0.02747577801346779,-99.0
UDGcand_18,56.32650375366211,-35.50185012817383,1.833299994468689,20.051700592041016,-1.0,0.906499981880188,-85.77880096435547,0.755299985408783,23.06511116027832,21.822078704833984,21.115110397338867,20.81134033203125,0.10743971168994904,0.059927552938461304,0.044554974883794785,0.04243726283311844,0.17899177968502045,0.11011440306901932,0.10207873582839966,2.6573946475982666,23.256162643432617,0.02387731708586216,-99.0
